areacode,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,title,addr1,addr2,tel,zipcode,address
39.0,A02,A0202,A02020200,127492,12,20031107090000,http://tong.visitkorea.or.kr/cms/resource/99/2729999_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/99/2729999_image2_1.jpg,126.4136493056,33.2548917891,6.0,20220509110747,60127.0,3.0,중문관광단지,제주특별자치도 서귀포시 중문관광로 38,(중문관광단지안내소),,63535.0,제주특별자치도 서귀포시 중문관광로 38(색달동)
39.0,A04,A0401,A04010600,1871028,38,20131213133519,,,126.4424496419,33.2523897416,6.0,20211209110733,4025.0,3.0,중문농수산 / 중문농수산영농조합법인,제주특별자치도 서귀포시 천제연로 355,,064-738-5757,63540.0,제주특별자치도 서귀포시 천제연로 355(회수동)
39.0,A04,A0401,A04010400,2708336,38,20210308163655,,,126.4244653377,33.2413184576,6.0,20210308163655,0.0,3.0,중문면세점,제주특별자치도 서귀포시 중문관광로 224,(중문동),,63547.0,제주특별자치도 서귀포시 중문관광로 224(중문동)
39.0,A02,A0203,A02030400,2738726,12,20210901112301,http://tong.visitkorea.or.kr/cms/resource/81/2740481_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/81/2740481_image2_1.jpg,126.3824129349,33.2635097906,6.0,20210906160953,0.0,3.0,중문미로파크,제주특별자치도 서귀포시 상예동 3592-5,,,,
39.0,A05,A0502,A05020100,2791425,39,20211210181201,http://tong.visitkorea.or.kr/cms/resource/96/2800696_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/96/2800696_image2_1.jpg,126.4250095051,33.2516062199,6.0,20220407093759,0.0,3.0,중문수두리보말칼국수,제주특별자치도 서귀포시 천제연로 192,(중문동),,63546.0,제주특별자치도 서귀포시 천제연로 192(중문동)
39.0,A03,A0302,A03021700,2758014,28,20211018103219,http://tong.visitkorea.or.kr/cms/resource/77/2798477_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/77/2798477_image2_1.jpg,126.4183711669,33.2527226588,6.0,20211215111728,0.0,3.0,중문진실캠핑장,제주특별자치도 서귀포시 천제연로 132,(중문동),,63546.0,제주특별자치도 서귀포시 천제연로 132(중문동)
39.0,A05,A0502,A05020100,2755458,39,20211012094351,http://tong.visitkorea.or.kr/cms/resource/38/2755638_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/38/2755638_image2_1.jpg,126.4144741763,33.2574915152,6.0,20211012142733,0.0,3.0,중문칠돈가,제주특별자치도 서귀포시 중문관광로 8,(색달동),,63534.0,제주특별자치도 서귀포시 중문관광로 8(색달동)
39.0,A03,A0302,A03020600,2767799,28,20211103140947,http://tong.visitkorea.or.kr/cms/resource/50/2772050_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/50/2772050_image3_1.jpg,126.3941480104,33.2642793349,6.0,20211110104632,0.0,3.0,중문카트체험장,제주특별자치도 서귀포시 일주서로 1114,(상예동),,63534.0,제주특별자치도 서귀포시 일주서로 1114(상예동)
39.0,A05,A0502,A05020100,2755449,39,20211012092918,http://tong.visitkorea.or.kr/cms/resource/23/2755623_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/23/2755623_image2_1.jpg,126.413477037,33.2576498152,6.0,20211012142413,0.0,3.0,중문통갈치조림구이 색달식당 (색달식당 중문본점),제주특별자치도 서귀포시 색달중앙로 23,(색달동),,63534.0,제주특별자치도 서귀포시 색달중앙로 23(색달동)
